Space group: I4_1/amd
Found 5 high-symmetry points:
  GM: k=(0.0, 0.0, 0.0)
  M: k=(0.5000000000000001, 0.5000000000000001, 0.4999999999999999)
  N: k=(5.551115123125783e-17, 0.5, -5.551115123125783e-17)
  P: k=(0.25000000000000006, 0.25000000000000006, 0.24999999999999994)
  X: k=(0.0, 0.0, 0.5)

# GM point (Primitive coordinates)
# k_prim = [0.0000, 0.0000, 0.0000]
# k_BCS  = [0.0000, 0.0000, 0.0000]  (BCS label: GM)
============================================================
# band  freq(THz)  freq(cm-1)     label(M)   label(BCS)  IR  Raman  OPD(BCS)        OPD(prim)       Daughter SG          Chiral  
   121    32.5619     1086.15          B2g         GM4+  .     Y    (a)             (a)             Fddd(#70)            -       
   122    32.6789     1090.05          A2u         GM3-  Y     .    (a)             (a)             I4_1md(#109)         -       
   123    32.7273     1091.67           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
   124    32.7273     1091.67           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
   125    32.9612     1099.47           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
   126    32.9612     1099.47           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
   127    33.2840     1110.24          B1u         GM2-  .     .    (a)             (a)             I-42d(#122)          -       
   128    33.2949     1110.60          A2g         GM3+  .     .    (a)             (a)             I4_1/a(#88)          -       
   129    34.6982     1157.41          A2g         GM3+  .     .    (a)             (a)             I4_1/a(#88)          -       
   130    35.3954     1180.67           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
   131    35.3954     1180.67           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
   132    35.4224     1181.56          B2g         GM4+  .     Y    (a)             (a)             Fddd(#70)            -       
   133    35.8014     1194.21           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
   134    35.8014     1194.21           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
   135    35.8714     1196.54          B1u         GM2-  .     .    (a)             (a)             I-42d(#122)          -       
   136    36.0177     1201.42          B2u         GM4-  .     .    (a)             (a)             I-4m2(#119)          -       
   137    36.0427     1202.26          A1u         GM1-  .     .    (a)             (a)             I4_122(#98)          III     
   138    36.1386     1205.45           Eu         GM5-  Y     .    (a, 0)          (a, 0)          Cc(#9)               -       
   139    36.1386     1205.45           Eu         GM5-  Y     .    (a, a)          (0, a)          Cc(#9)               -       
   140    36.6492     1222.49          A2u         GM3-  Y     .    (a)             (a)             I4_1md(#109)         -       
   141    37.0612     1236.23           Eg         GM5+  .     Y    (a, 0)          (a, 0)          P-1(#2)              -       
   142    37.0612     1236.23           Eg         GM5+  .     Y    (a, a)          (0, a)          P-1(#2)              -       
   143    37.3445     1245.68          B1g         GM2+  .     Y    (a)             (a)             Imma(#74)            -       

# M point (Primitive coordinates)
# k_prim = [0.5000, 0.5000, 0.5000]
