Space group: I4_1/acd
Found 5 high-symmetry points:
  GM: k=(0.0, 0.0, 0.0)
  M: k=(0.5, 0.5, 0.5)
  N: k=(0.0, 0.5, 0.0)
  P: k=(0.25, 0.25, 0.25)
  X: k=(0.0, 0.0, 0.5)

# GM point (Primitive coordinates)
# k_prim = [0.0000, 0.0000, 0.0000]
# k_BCS  = [0.0000, 0.0000, 0.0000]  (BCS label: GM)
============================================================
# band  freq(THz)  freq(cm-1)     label(M)   label(BCS)  IR  Raman  OPD(BCS)        OPD(prim)       Daughter SG          Chiral  
    12     1.9286       64.33            -           M3  .     .    (a, 0)          (a, 0)          P4_12_12(#92)        II-pair 
    13     1.9286       64.33            -           M3  .     .    (0, a)          (0, a)          P4_32_12(#96)        II-pair 
    14     2.1382       71.32            -           M4  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
    15     2.1382       71.32            -           M4  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
    16     2.2517       75.11            -           M2  .     .    (a, 0)          (a, 0)          Pba2(#32)            -       
    17     2.2517       75.11            -           M2  .     .    (a, a)          (0, a)          Pba2(#32)            -       
    18     2.7144       90.54            -           M3  .     .    (a, 0)          (a, 0)          P4_12_12(#92)        II-pair 
    19     2.7144       90.54            -           M3  .     .    (0, a)          (0, a)          P4_32_12(#96)        II-pair 
    20     2.7406       91.42            -           M4  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
    21     2.7406       91.42            -           M4  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
    22     3.5658      118.94            -           M1  .     .    (a, 0)          (a, 0)          Pcc2(#27)            -       
    23     3.5658      118.94            -           M1  .     .    (a, a)          (0, a)          Pcc2(#27)            -       
    24     4.1147      137.25            -           M3  .     .    (a, 0)          (a, 0)          P4_12_12(#92)        II-pair 
    25     4.1147      137.25            -           M3  .     .    (0, a)          (0, a)          P4_32_12(#96)        II-pair 
    26     4.5512      151.81            -           M3  .     .    (a, 0)          (a, 0)          P4_12_12(#92)        II-pair 
    27     4.5512      151.81            -           M3  .     .    (0, a)          (0, a)          P4_32_12(#96)        II-pair 
    28     5.0816      169.51            -           M1  .     .    (a, 0)          (a, 0)          Pcc2(#27)            -       
    29     5.0816      169.51            -           M1  .     .    (a, a)          (0, a)          Pcc2(#27)            -       
    30     5.0934      169.90            -           M1  .     .    (a, 0)          (a, 0)          Pcc2(#27)            -       
    31     5.0934      169.90            -           M1  .     .    (a, a)          (0, a)          Pcc2(#27)            -       
    32     5.1019      170.18            -           M4  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
    33     5.1019      170.18            -           M4  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
    34     5.2717      175.85            -           M4  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
    35     5.2717      175.85            -           M4  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
    36     5.2767      176.01            -           M3  .     .    (a, 0)          (a, 0)          P4_12_12(#92)        II-pair 
    37     5.2767      176.01            -           M3  .     .    (0, a)          (0, a)          P4_32_12(#96)        II-pair 
    38     5.3058      176.98            -           M2  .     .    (a, 0)          (a, 0)          Pba2(#32)            -       
    39     5.3058      176.98            -           M2  .     .    (a, a)          (0, a)          Pba2(#32)            -       
    40     5.4477      181.72            -           M2  .     .    (a, 0)          (a, 0)          Pba2(#32)            -       
    41     5.4477      181.72            -           M2  .     .    (a, a)          (0, a)          Pba2(#32)            -       
    42     6.3095      210.46            -           M4  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
    43     6.3095      210.46            -           M4  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
    44     6.5331      217.92            -           M3  .     .    (a, 0)          (a, 0)          P4_12_12(#92)        II-pair 
    45     6.5331      217.92            -           M3  .     .    (0, a)          (0, a)          P4_32_12(#96)        II-pair 
    46     6.5495      218.47            -           M4  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
    47     6.5495      218.47            -           M4  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
    48     7.0321      234.57            -           M2  .     .    (a, 0)          (a, 0)          Pba2(#32)            -       
    49     7.0321      234.57            -           M2  .     .    (a, a)          (0, a)          Pba2(#32)            -       
    50     7.9051      263.69            -           M3  .     .    (a, 0)          (a, 0)          P4_12_12(#92)        II-pair 
    51     7.9051      263.69            -           M3  .     .    (0, a)          (0, a)          P4_32_12(#96)        II-pair 
    52     8.2198      274.18            -           M4  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
    53     8.2198      274.18            -           M4  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
    54     8.4594      282.17            -           M1  .     .    (a, 0)          (a, 0)          Pcc2(#27)            -       
    55     8.4594      282.17            -           M1  .     .    (a, a)          (0, a)          Pcc2(#27)            -       
    56     8.5152      284.04            -           M3  .     .    (a, 0)          (a, 0)          P4_12_12(#92)        II-pair 
    57     8.5152      284.04            -           M3  .     .    (0, a)          (0, a)          P4_32_12(#96)        II-pair 
    58     9.1750      306.05            -           M4  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
    59     9.1750      306.05            -           M4  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
    60    10.8820      362.98            -           M3  .     .    (a, 0)          (a, 0)          P4_12_12(#92)        II-pair 
    61    10.8820      362.98            -           M3  .     .    (0, a)          (0, a)          P4_32_12(#96)        II-pair 
    62    11.0983      370.20            -           M4  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
    63    11.0983      370.20            -           M4  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
    64    12.5012      417.00            -           M2  .     .    (a, 0)          (a, 0)          Pba2(#32)            -       
    65    12.5012      417.00            -           M2  .     .    (a, a)          (0, a)          Pba2(#32)            -       
    66    12.8024      427.04            -           M1  .     .    (a, 0)          (a, 0)          Pcc2(#27)            -       
    67    12.8024      427.04            -           M1  .     .    (a, a)          (0, a)          Pcc2(#27)            -       
    68    13.7618      459.04            -           M1  .     .    (a, 0)          (a, 0)          Pcc2(#27)            -       
    69    13.7618      459.04            -           M1  .     .    (a, a)          (0, a)          Pcc2(#27)            -       
    70    15.4843      516.50            -           M1  .     .    (a, 0)          (a, 0)          Pcc2(#27)            -       
    71    15.4843      516.50            -           M1  .     .    (a, a)          (0, a)          Pcc2(#27)            -       
